"SIZE"	"ES"	"NES"	"NOM P-VAL"	"FDR Q-VAL"	"FWER P-VAL"	"RANK AT MAX"	"LEADING EDGE"	"TERM"	"SOURCE"	"GOID"
15	-0.7604238	-1.8247939	0	0.0036065658	0.61	2055	"tags=47%, list=14%, signal=54%"	"POSITIVE REGULATION OF INTERFERON-ALPHA PRODUCTION"	"GOBP"	"GO:0032727"
49	-0.7586659	-2.3391097	0	0	0	2166	"tags=59%, list=14%, signal=69%"	"REGULATION OF ORNITHINE DECARBOXYLASE (ODC)"	"REACTOME"	"R-HSA-350562.1"
39	-0.75841916	-2.265415	0	1.097324e-05	0.001	3251	"tags=85%, list=21%, signal=107%"	"MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE"	"GOBP"	"GO:0006120"
17	-0.75803334	-1.8673592	0	0.002061372	0.387	2915	"tags=71%, list=19%, signal=87%"	"RESPONSE TO INTERFERON-BETA"	"GOBP"	"GO:0035456"
19	-0.7579661	-1.9120857	0.0026737968	0.001067155	0.199	430	"tags=32%, list=3%, signal=32%"	"TRAF6 MEDIATED IRF7 ACTIVATION"	"REACTOME"	"R-HSA-933541.1"
24	-0.7553359	-2.0393307	0	0.0001260409	0.018	229	"tags=38%, list=2%, signal=38%"	"ANTIGEN PRESENTATION: FOLDING, ASSEMBLY AND PEPTIDE LOADING OF CLASS I MHC"	"REACTOME"	"R-HSA-983170.3"
85	-0.75344193	-2.5861878	0	0	0	3028	"tags=81%, list=20%, signal=101%"	"MITOCHONDRIAL TRANSLATION ELONGATION"	"REACTOME"	"R-HSA-5389840.1"
60	-0.75160503	-2.4804428	0	0	0	2247	"tags=62%, list=15%, signal=72%"	"ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX"	"REACTOME DATABASE ID RELEASE 60"	"68867"
85	-0.7500577	-2.5959222	0	0	0	3028	"tags=80%, list=20%, signal=99%"	"MITOCHONDRIAL TRANSLATIONAL ELONGATION"	"GOBP"	"GO:0070125"
85	-0.7499488	-2.523729	0	0	0	3028	"tags=80%, list=20%, signal=99%"	"MITOCHONDRIAL TRANSLATION INITIATION"	"REACTOME"	"R-HSA-5368286.1"
45	-0.74835265	-2.3113086	0	0	0	1637	"tags=51%, list=11%, signal=57%"	"NEGATIVE REGULATION OF VIRAL GENOME REPLICATION"	"GOBP"	"GO:0045071"
28	-0.7471016	-2.0778654	0	7.033338e-05	0.009	1787	"tags=46%, list=12%, signal=53%"	"BARD1 SIGNALING EVENTS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"BARD1 SIGNALING EVENTS"
18	-0.74677545	-1.8523417	0.0025641026	0.0025146948	0.46	1474	"tags=61%, list=10%, signal=68%"	"BIOCARTA_CTLA4_PATHWAY"	"MSIGDB_C2"	"BIOCARTA_CTLA4_PATHWAY"
85	-0.74629915	-2.6126876	0	0	0	3028	"tags=79%, list=20%, signal=98%"	"MITOCHONDRIAL TRANSLATION TERMINATION"	"REACTOME"	"R-HSA-5419276.1"
85	-0.74629915	-2.5989363	0	0	0	3028	"tags=79%, list=20%, signal=98%"	"MITOCHONDRIAL TRANSLATIONAL TERMINATION"	"GOBP"	"GO:0070126"
56	-0.7459638	-2.3915672	0	0	0	2166	"tags=55%, list=14%, signal=64%"	"REGULATION OF CELLULAR AMINE METABOLIC PROCESS"	"GOBP"	"GO:0033238"
52	-0.7458599	-2.351062	0	0	0	2166	"tags=56%, list=14%, signal=65%"	"REGULATION OF CELLULAR AMINO ACID METABOLIC PROCESS"	"GOBP"	"GO:0006521"
18	-0.7457441	-1.842313	0	0.0028709688	0.51	294	"tags=28%, list=2%, signal=28%"	"REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY"	"GOBP"	"GO:2001267"
82	-0.74543154	-2.5869071	0	0	0	1186	"tags=48%, list=8%, signal=51%"	"INTERFERON GAMMA SIGNALING"	"REACTOME"	"R-HSA-877300.1"
51	-0.74453217	-2.36096	0	0	0	2988	"tags=69%, list=20%, signal=85%"	"VIF-MEDIATED DEGRADATION OF APOBEC3G"	"REACTOME DATABASE ID RELEASE 60"	"180585"
91	-0.74287534	-2.5740318	0	0	0	3028	"tags=77%, list=20%, signal=95%"	"MITOCHONDRIAL TRANSLATION"	"REACTOME DATABASE ID RELEASE 60"	"5368287"
72	-0.74269533	-2.494618	0	0	0	2247	"tags=57%, list=15%, signal=66%"	"REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE"	"GOBP"	"GO:0051439"
29	-0.74195856	-2.0489082	0	9.9977915e-05	0.014	1787	"tags=45%, list=12%, signal=51%"	"PID_BARD1_PATHWAY"	"MSIGDB_C2"	"PID_BARD1_PATHWAY"
73	-0.74134606	-2.5166268	0	0	0	2247	"tags=56%, list=15%, signal=66%"	"ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS"	"REACTOME DATABASE ID RELEASE 60"	"176814"
75	-0.7412715	-2.5558307	0	0	0	1916	"tags=57%, list=13%, signal=65%"	"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I"	"GOBP"	"GO:0042590"
48	-0.74121255	-2.3117354	0	0	0	2247	"tags=56%, list=15%, signal=66%"	"REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION"	"REACTOME DATABASE ID RELEASE 60"	"211733"
71	-0.74051195	-2.4618614	0	0	0	2247	"tags=56%, list=15%, signal=66%"	"NEGATIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE"	"GOBP"	"GO:0051436"
51	-0.73971164	-2.3529718	0	0	0	2247	"tags=55%, list=15%, signal=64%"	"REGULATION OF APOPTOSIS"	"REACTOME"	"R-HSA-169911.2"
92	-0.7396683	-2.5703301	0	0	0	3028	"tags=75%, list=20%, signal=93%"	"TRANSLATIONAL TERMINATION"	"GOBP"	"GO:0006415"
72	-0.7391791	-2.4995434	0	0	0	2247	"tags=56%, list=15%, signal=65%"	"APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS"	"REACTOME DATABASE ID RELEASE 60"	"176409"
51	-0.7391182	-2.3009765	0	0	0	2247	"tags=57%, list=15%, signal=66%"	"CDT1 ASSOCIATION WITH THE CDC6:ORC:ORIGIN COMPLEX"	"REACTOME DATABASE ID RELEASE 60"	"68827"
16	-0.73893005	-1.7768668	0.0072639226	0.006673785	0.856	1365	"tags=38%, list=9%, signal=41%"	"CELLULAR RESPONSE TO VIRUS"	"GOBP"	"GO:0098586"
72	-0.7389126	-2.455548	0	0	0	1916	"tags=57%, list=13%, signal=65%"	"ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I, TAP-DEPENDENT"	"GOBP"	"GO:0002479"
51	-0.73817956	-2.3429706	0	0	0	2247	"tags=57%, list=15%, signal=66%"	"P53-INDEPENDENT DNA DAMAGE RESPONSE"	"REACTOME"	"R-HSA-69610.2"
51	-0.73817956	-2.335822	0	0	0	2247	"tags=57%, list=15%, signal=66%"	"P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT"	"REACTOME"	"R-HSA-69613.2"
51	-0.73817956	-2.3509626	0	0	0	2247	"tags=57%, list=15%, signal=66%"	"UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A"	"REACTOME"	"R-HSA-69601.2"
76	-0.7375526	-2.4946203	0	0	0	2352	"tags=63%, list=15%, signal=74%"	"DNA REPLICATION PRE-INITIATION"	"REACTOME"	"R-HSA-69002.2"
76	-0.7375526	-2.5054252	0	0	0	2352	"tags=63%, list=15%, signal=74%"	"M G1 TRANSITION"	"REACTOME DATABASE ID RELEASE 60"	"68874"
49	-0.7374656	-2.2604945	0	1.0655175e-05	0.001	2247	"tags=57%, list=15%, signal=67%"	"CDK-MEDIATED PHOSPHORYLATION AND REMOVAL OF CDC6"	"REACTOME"	"R-HSA-69017.2"
68	-0.7363593	-2.486688	0	0	0	2247	"tags=59%, list=15%, signal=69%"	"REGULATION OF DNA REPLICATION"	"REACTOME"	"R-HSA-69304.2"
16	-0.7359781	-1.7643543	0	0.0076434603	0.903	1474	"tags=50%, list=10%, signal=55%"	"BIOCARTA_STATHMIN_PATHWAY"	"MSIGDB_C2"	"BIOCARTA_STATHMIN_PATHWAY"
45	-0.7358366	-2.274848	0	1.1578065e-05	0.001	3616	"tags=84%, list=24%, signal=110%"	"COMPLEX I BIOGENESIS"	"REACTOME"	"R-HSA-6799198.1"
63	-0.7353776	-2.4576936	0	0	0	2247	"tags=59%, list=15%, signal=69%"	"ORC1 REMOVAL FROM CHROMATIN"	"REACTOME DATABASE ID RELEASE 60"	"68949"
63	-0.7353776	-2.4115295	0	0	0	2247	"tags=59%, list=15%, signal=69%"	"SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE"	"REACTOME DATABASE ID RELEASE 60"	"69052"
70	-0.7341847	-2.511087	0	0	0	2247	"tags=54%, list=15%, signal=63%"	"APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT"	"REACTOME DATABASE ID RELEASE 60"	"179419"
64	-0.734114	-2.4095762	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"APC C:CDC20 MEDIATED DEGRADATION OF SECURIN"	"REACTOME"	"R-HSA-174154.2"
55	-0.73402286	-2.361894	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"STABILIZATION OF P53"	"REACTOME DATABASE ID RELEASE 60"	"69541"
25	-0.73356265	-2.0075195	0	0.000252862	0.039	3539	"tags=88%, list=23%, signal=114%"	"ACTIVATION OF THE PRE-REPLICATIVE COMPLEX"	"REACTOME DATABASE ID RELEASE 60"	"68962"
102	-0.7332446	-2.6029742	0	0	0	3028	"tags=72%, list=20%, signal=89%"	"MITOCHONDRIAL TRANSLATION"	"GOBP"	"GO:0032543"
50	-0.7330049	-2.3381653	0	0	0	3272	"tags=80%, list=22%, signal=102%"	"MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY"	"GOBP"	"GO:0032981"
50	-0.7330049	-2.3050375	0	0	0	3272	"tags=80%, list=22%, signal=102%"	"NADH DEHYDROGENASE COMPLEX ASSEMBLY"	"GOBP"	"GO:0010257"
50	-0.7330049	-2.2696908	0	1.1224536e-05	0.001	3272	"tags=80%, list=22%, signal=102%"	"MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I BIOGENESIS"	"GOBP"	"GO:0097031"
65	-0.7327443	-2.4120634	0	0	0	2247	"tags=58%, list=15%, signal=68%"	"REMOVAL OF LICENSING FACTORS FROM ORIGINS"	"REACTOME"	"R-HSA-69300.2"
51	-0.73220915	-2.302032	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA"	"REACTOME"	"R-HSA-450408.3"
53	-0.73214644	-2.3581274	0	0	0	2247	"tags=55%, list=15%, signal=64%"	"SCF-BETA-TRCP MEDIATED DEGRADATION OF EMI1"	"REACTOME DATABASE ID RELEASE 60"	"174113"
53	-0.7320892	-2.3061664	0	0	0	3204	"tags=66%, list=21%, signal=83%"	"HH MUTANTS ABROGATE LIGAND SECRETION"	"REACTOME DATABASE ID RELEASE 60"	"5387390"
53	-0.7320892	-2.314833	0	0	0	3204	"tags=66%, list=21%, signal=83%"	"HH MUTANTS THAT DON'T UNDERGO AUTOCATALYTIC PROCESSING ARE DEGRADED BY ERAD"	"REACTOME DATABASE ID RELEASE 60"	"5362768"
69	-0.7318818	-2.4244235	0	0	0	2247	"tags=54%, list=15%, signal=63%"	"CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A"	"REACTOME"	"R-HSA-174184.2"
77	-0.73082	-2.5020342	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS"	"GOBP"	"GO:0031145"
69	-0.73075134	-2.4423983	0	0	0	2247	"tags=52%, list=15%, signal=61%"	"APC C:CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C:CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1"	"REACTOME"	"R-HSA-174178.2"
50	-0.73021126	-2.252905	0	1.0428469e-05	0.001	2247	"tags=54%, list=15%, signal=63%"	"AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1"	"REACTOME"	"R-HSA-349425.2"
50	-0.73004586	-2.304727	0	0	0	2988	"tags=66%, list=20%, signal=82%"	"VPU MEDIATED DEGRADATION OF CD4"	"REACTOME DATABASE ID RELEASE 60"	"180534"
77	-0.7298231	-2.4438224	0	0	0	2247	"tags=52%, list=15%, signal=61%"	"NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY"	"GOBP"	"GO:1904667"
16	-0.72974014	-1.72681	0	0.011466315	0.978	615	"tags=25%, list=4%, signal=26%"	"LIGAND-DEPENDENT CASPASE ACTIVATION"	"REACTOME"	"R-HSA-140534.3"
15	-0.72950387	-1.6820844	0.011904762	0.017659476	0.998	2567	"tags=67%, list=17%, signal=80%"	"PROCESSIVE SYNTHESIS ON THE LAGGING STRAND"	"REACTOME"	"R-HSA-69183.2"
32	-0.7294768	-2.0533626	0	0.000100953315	0.014	3042	"tags=75%, list=20%, signal=94%"	"DNA STRAND ELONGATION"	"REACTOME"	"R-HSA-69190.2"
62	-0.7293011	-2.402039	0	0	0	2247	"tags=52%, list=15%, signal=60%"	"AUTODEGRADATION OF CDH1 BY CDH1:APC C"	"REACTOME"	"R-HSA-174084.2"
58	-0.72895515	-2.3194413	0	0	0	1584	"tags=48%, list=10%, signal=54%"	"THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT"	"REACTOME"	"R-HSA-8852276.2"
21	-0.7289328	-1.886859	0	0.0014960032	0.285	1415	"tags=38%, list=9%, signal=42%"	"BIOCARTA_ATRBRCA_PATHWAY"	"MSIGDB_C2"	"BIOCARTA_ATRBRCA_PATHWAY"
29	-0.7284664	-2.0234911	0	0.00015614033	0.023	2310	"tags=45%, list=15%, signal=53%"	"CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY"	"GOBP"	"GO:0002753"
77	-0.7284623	-2.4461558	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE"	"REACTOME DATABASE ID RELEASE 60"	"176408"
83	-0.72840494	-2.4877095	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS"	"REACTOME"	"R-HSA-174143.1"
83	-0.72840494	-2.5075464	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"REGULATION OF MITOTIC CELL CYCLE"	"REACTOME DATABASE ID RELEASE 60"	"453276"
22	-0.7277409	-1.9251074	0	0.00084790116	0.158	2619	"tags=73%, list=17%, signal=88%"	"ATP SYNTHESIS COUPLED PROTON TRANSPORT"	"GOBP"	"GO:0015986"
22	-0.7277409	-1.8882909	0.0028985508	0.0014824158	0.281	2619	"tags=73%, list=17%, signal=88%"	"ENERGY COUPLED PROTON TRANSPORT, DOWN ELECTROCHEMICAL GRADIENT"	"GOBP"	"GO:0015985"
92	-0.7277243	-2.5356245	0	0	0	2247	"tags=60%, list=15%, signal=70%"	"SYNTHESIS OF DNA"	"REACTOME"	"R-HSA-69239.2"
74	-0.7271584	-2.4646294	0	0	0	2247	"tags=53%, list=15%, signal=62%"	"POSITIVE REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN REGULATION OF MITOTIC CELL CYCLE TRANSITION"	"GOBP"	"GO:0051437"
80	-0.72617507	-2.4705265	0	0	0	1584	"tags=45%, list=10%, signal=50%"	"ER-PHAGOSOME PATHWAY"	"REACTOME DATABASE ID RELEASE 60"	"1236974"
99	-0.72465307	-2.4882233	0	0	0	2247	"tags=60%, list=15%, signal=69%"	"DNA REPLICATION"	"REACTOME"	"R-HSA-69306.1"
59	-0.72404253	-2.324449	0	0	0	3204	"tags=61%, list=21%, signal=77%"	"DEFECTIVE CFTR CAUSES CYSTIC FIBROSIS"	"REACTOME"	"R-HSA-5678895.2"
53	-0.7233508	-2.2852526	0	1.1858179e-05	0.001	2247	"tags=51%, list=15%, signal=60%"	"DEGRADATION OF AXIN"	"REACTOME DATABASE ID RELEASE 60"	"4641257"
20	-0.7230491	-1.8011727	0	0.00496758	0.739	216	"tags=30%, list=1%, signal=30%"	"REGULATION OF DEFENSE RESPONSE TO VIRUS BY HOST"	"GOBP"	"GO:0050691"
25	-0.722417	-1.954207	0	0.00055705325	0.098	2051	"tags=40%, list=13%, signal=46%"	"POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION"	"GOBP"	"GO:0032728"
21	-0.7214809	-1.837395	0	0.0030160812	0.532	3042	"tags=67%, list=20%, signal=83%"	"PCNA-DEPENDENT LONG PATCH BASE EXCISION REPAIR"	"REACTOME DATABASE ID RELEASE 60"	"5651801"
64	-0.7201863	-2.3575118	0	0	0	3272	"tags=75%, list=22%, signal=95%"	"MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY"	"GOBP"	"GO:0033108"
15	-0.7201486	-1.6674823	0.004950495	0.020170953	0.999	1296	"tags=40%, list=9%, signal=44%"	"NATURAL KILLER CELL ACTIVATION"	"GOBP"	"GO:0030101"
31	-0.7195317	-2.0647612	0	9.063734e-05	0.012	2619	"tags=71%, list=17%, signal=86%"	"INNER MITOCHONDRIAL MEMBRANE ORGANIZATION"	"GOBP"	"GO:0007007"
21	-0.71935445	-1.8760569	0	0.0018233086	0.344	2140	"tags=48%, list=14%, signal=55%"	"POSITIVE REGULATION OF CELL KILLING"	"GOBP"	"GO:0031343"
62	-0.718732	-2.3427274	0	0	0	2275	"tags=48%, list=15%, signal=57%"	"ABC TRANSPORTER DISORDERS"	"REACTOME"	"R-HSA-5619084.4"
20	-0.7181858	-1.778552	0.0052083335	0.006591735	0.853	3042	"tags=70%, list=20%, signal=87%"	"LAGGING STRAND SYNTHESIS"	"REACTOME DATABASE ID RELEASE 60"	"69186"
62	-0.717314	-2.31308	0	0	0	1272	"tags=44%, list=8%, signal=47%"	"DEFENSE RESPONSE TO VIRUS"	"GOBP"	"GO:0051607"
66	-0.716867	-2.4003422	0	0	0	2247	"tags=52%, list=15%, signal=60%"	"G1 S DNA DAMAGE CHECKPOINTS"	"REACTOME"	"R-HSA-69615.2"
24	-0.71641487	-1.9081692	0	0.0011048759	0.209	3042	"tags=71%, list=20%, signal=88%"	"TELOMERE C-STRAND (LAGGING STRAND) SYNTHESIS"	"REACTOME DATABASE ID RELEASE 60"	"174417"
16	-0.7162286	-1.7124014	0.0072289156	0.01330029	0.99	2244	"tags=56%, list=15%, signal=66%"	"DEOXYRIBOSE PHOSPHATE CATABOLIC PROCESS"	"GOBP"	"GO:0046386"
64	-0.7158939	-2.3451502	0	0	0	2247	"tags=52%, list=15%, signal=60%"	"P53-DEPENDENT G1 DNA DAMAGE RESPONSE"	"REACTOME"	"R-HSA-69563.3"
64	-0.7158939	-2.3670626	0	0	0	2247	"tags=52%, list=15%, signal=60%"	"P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT"	"REACTOME DATABASE ID RELEASE 60"	"69580"
55	-0.71467453	-2.3060691	0	0	0	2247	"tags=51%, list=15%, signal=60%"	"REGULATION OF RUNX3 EXPRESSION AND ACTIVITY"	"REACTOME"	"R-HSA-8941858.1"
18	-0.7132442	-1.739204	0.0054347827	0.01003758	0.963	2086	"tags=44%, list=14%, signal=51%"	"PHOSPHORYLATION OF THE APC C"	"REACTOME DATABASE ID RELEASE 60"	"176412"
57	-0.7129894	-2.286287	0	1.19545875e-05	0.001	2247	"tags=49%, list=15%, signal=57%"	"DECTIN-1 MEDIATED NONCANONICAL NF-KB SIGNALING"	"REACTOME DATABASE ID RELEASE 60"	"5607761"
72	-0.7112595	-2.3350067	0	0	0	3066	"tags=72%, list=20%, signal=90%"	"OXIDATIVE PHOSPHORYLATION"	"GOBP"	"GO:0006119"
99	-0.71115196	-2.523887	0	0	0	3028	"tags=72%, list=20%, signal=89%"	"TRANSLATIONAL ELONGATION"	"GOBP"	"GO:0006414"
80	-0.7109147	-2.4450166	0	0	0	2247	"tags=50%, list=15%, signal=58%"	"POSITIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY"	"GOBP"	"GO:1904668"
19	-0.7103164	-1.7596866	0.005509642	0.007923449	0.914	2140	"tags=47%, list=14%, signal=55%"	"POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY"	"GOBP"	"GO:0001912"
83	-0.710044	-2.5138	0	0	0	2247	"tags=48%, list=15%, signal=56%"	"POSITIVE REGULATION OF PROTEIN UBIQUITINATION INVOLVED IN UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS"	"GOBP"	"GO:2000060"
56	-0.70935076	-2.27235	0	1.139856e-05	0.001	2247	"tags=48%, list=15%, signal=56%"	"NIK-->NONCANONICAL NF-KB SIGNALING"	"REACTOME DATABASE ID RELEASE 60"	"5676590"
77	-0.708894	-2.4380517	0	0	0	3220	"tags=60%, list=21%, signal=75%"	"METABOLISM OF POLYAMINES"	"REACTOME"	"R-HSA-351202.2"
84	-0.70845276	-2.4233837	0	0	0	3616	"tags=76%, list=24%, signal=99%"	"RESPIRATORY ELECTRON TRANSPORT"	"REACTOME"	"R-HSA-611105.3"
166	-0.7083328	-2.7320342	0	0	0	1186	"tags=41%, list=8%, signal=44%"	"INTERFERON SIGNALING"	"REACTOME DATABASE ID RELEASE 60"	"913531"
49	-0.70794696	-2.1673744	0	9.190088e-06	0.001	2247	"tags=57%, list=15%, signal=67%"	"UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D1"	"REACTOME DATABASE ID RELEASE 60"	"69229"
49	-0.70794696	-2.1691425	0	9.247888e-06	0.001	2247	"tags=57%, list=15%, signal=67%"	"UBIQUITIN-DEPENDENT DEGRADATION OF CYCLIN D"	"REACTOME"	"R-HSA-75815.2"
30	-0.706926	-1.9401752	0	0.00070321624	0.126	3539	"tags=77%, list=23%, signal=100%"	"EXTENSION OF TELOMERES"	"REACTOME DATABASE ID RELEASE 60"	"180786"
17	-0.70464045	-1.721368	0.007874016	0.012146939	0.984	2244	"tags=53%, list=15%, signal=62%"	"DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS"	"GOBP"	"GO:0009264"
88	-0.70452994	-2.4546545	0	0	0	2247	"tags=48%, list=15%, signal=56%"	"REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY"	"GOBP"	"GO:1904666"
15	-0.7042469	-1.6539488	0.009779952	0.022645427	0.999	1587	"tags=40%, list=10%, signal=45%"	"MRNA DECAY BY 5' TO 3' EXORIBONUCLEASE"	"REACTOME"	"R-HSA-430039.1"
104	-0.70423204	-2.4980776	0	0	0	3066	"tags=69%, list=20%, signal=86%"	"RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS."	"REACTOME"	"R-HSA-163200.1"
24	-0.70310026	-1.8566445	0.002967359	0.0023527984	0.439	2619	"tags=71%, list=17%, signal=85%"	"CRISTAE FORMATION"	"GOBP"	"GO:0042407"
65	-0.7027647	-2.274781	0	1.1487611e-05	0.001	2988	"tags=58%, list=20%, signal=72%"	"ACTIVATION OF NF-KAPPAB IN B CELLS"	"REACTOME"	"R-HSA-1169091.1"
27	-0.70250946	-1.9603578	0.0027472528	0.0005215251	0.091	2619	"tags=63%, list=17%, signal=76%"	"HYDROGEN ION TRANSMEMBRANE TRANSPORT"	"GOBP"	"GO:1902600"
