"SIZE"	"ES"	"NES"	"NOM P-VAL"	"FDR Q-VAL"	"FWER P-VAL"	"RANK AT MAX"	"LEADING EDGE"	"TERM"	"SOURCE"	"GOID"
33	0.8322098	2.0059228	0	1.6115811e-05	0.002	1397	"tags=42%, list=9%, signal=47%"	"UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"UROKINASE-TYPE PLASMINOGEN ACTIVATOR (UPA) AND UPAR-MEDIATED SIGNALING"
33	0.8322097	2.0173097	0	1.6955177e-05	0.002	1397	"tags=42%, list=9%, signal=47%"	"PID_UPA_UPAR_PATHWAY"	"MSIGDB_C2"	"PID_UPA_UPAR_PATHWAY"
29	0.8318719	1.980764	0	1.4404398e-05	0.002	1891	"tags=69%, list=12%, signal=79%"	"MOLECULES ASSOCIATED WITH ELASTIC FIBRES"	"REACTOME"	"R-HSA-2129379.1"
18	0.82962644	1.7770195	0	0.0031126	0.736	1861	"tags=72%, list=12%, signal=82%"	"CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION"	"GOBP"	"GO:0060317"
28	0.829171	1.9693714	0	2.0816673e-05	0.003	752	"tags=36%, list=5%, signal=38%"	"CHONDROITIN SULFATE PROTEOGLYCAN METABOLIC PROCESS"	"GOBP"	"GO:0050654"
196	0.82891095	2.5075915	0	0	0	1512	"tags=55%, list=10%, signal=60%"	"EXTRACELLULAR MATRIX ORGANIZATION"	"GOBP"	"GO:0030198"
196	0.82891095	2.4826121	0	0	0	1512	"tags=55%, list=10%, signal=60%"	"EXTRACELLULAR STRUCTURE ORGANIZATION"	"GOBP"	"GO:0043062"
18	0.82822543	1.8036022	0	0.0018718301	0.505	607	"tags=17%, list=4%, signal=17%"	"POSITIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS"	"GOBP"	"GO:1903846"
18	0.82822543	1.7838395	0	0.0027049598	0.669	607	"tags=17%, list=4%, signal=17%"	"POSITIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY"	"GOBP"	"GO:0030511"
20	0.8282191	1.854707	0	0.0007101711	0.173	1625	"tags=55%, list=11%, signal=61%"	"DIGESTIVE TRACT MORPHOGENESIS"	"GOBP"	"GO:0048546"
22	0.8241845	1.8482047	0	0.0007926884	0.203	1275	"tags=55%, list=8%, signal=59%"	"REGULATION OF CHONDROCYTE DIFFERENTIATION"	"GOBP"	"GO:0032330"
150	0.82374763	2.4147637	0	0	0	1527	"tags=55%, list=10%, signal=60%"	"NABA_ECM_GLYCOPROTEINS"	"MSIGDB_C2"	"NABA_ECM_GLYCOPROTEINS"
72	0.823494	2.231121	0	0	0	1451	"tags=50%, list=10%, signal=55%"	"PID_AVB3_INTEGRIN_PATHWAY"	"MSIGDB_C2"	"PID_AVB3_INTEGRIN_PATHWAY"
24	0.8232147	1.8936882	0	0.00026207766	0.055	1881	"tags=58%, list=12%, signal=66%"	"CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS"	"GOBP"	"GO:0035924"
17	0.82287914	1.7371286	0	0.0057696956	0.958	1777	"tags=71%, list=12%, signal=80%"	"AORTA DEVELOPMENT"	"GOBP"	"GO:0035904"
30	0.82279485	1.9811534	0	1.4533009e-05	0.002	1713	"tags=57%, list=11%, signal=64%"	"NCAM1 INTERACTIONS"	"REACTOME"	"R-HSA-419037.1"
23	0.8212041	1.8687271	0	0.0004911467	0.113	1861	"tags=65%, list=12%, signal=74%"	"ENDOCARDIAL CUSHION DEVELOPMENT"	"GOBP"	"GO:0003197"
43	0.82026404	2.0771868	0	0	0	1384	"tags=49%, list=9%, signal=54%"	"DISEASES ASSOCIATED WITH O-GLYCOSYLATION OF PROTEINS"	"REACTOME DATABASE ID RELEASE 60"	"3906995"
47	0.818601	2.0804374	0	0	0	1279	"tags=43%, list=8%, signal=46%"	"CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM"	"REACTOME DATABASE ID RELEASE 60"	"1793185"
26	0.8173866	1.9162238	0	0.00014646914	0.028	1593	"tags=58%, list=10%, signal=64%"	"NEPHRON MORPHOGENESIS"	"GOBP"	"GO:0072028"
26	0.8173866	1.9051604	0	0.00016634417	0.034	1593	"tags=58%, list=10%, signal=64%"	"NEPHRON EPITHELIUM MORPHOGENESIS"	"GOBP"	"GO:0072088"
17	0.81732565	1.7333767	0.0016638935	0.0060709417	0.966	2376	"tags=53%, list=16%, signal=63%"	"TELENCEPHALON CELL MIGRATION"	"GOBP"	"GO:0022029"
23	0.8167406	1.8483663	0	0.0007961499	0.203	1737	"tags=57%, list=11%, signal=64%"	"DORSAL/VENTRAL PATTERN FORMATION"	"GOBP"	"GO:0009953"
43	0.81624526	2.0659575	0	0	0	1894	"tags=56%, list=12%, signal=64%"	"REGULATION OF BMP SIGNALING PATHWAY"	"GOBP"	"GO:0030510"
24	0.81587577	1.8922964	0	0.00027854304	0.059	1402	"tags=46%, list=9%, signal=50%"	"VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM"
24	0.8158757	1.8721136	0	0.0004508997	0.105	1402	"tags=46%, list=9%, signal=50%"	"PID_LYMPH_ANGIOGENESIS_PATHWAY"	"MSIGDB_C2"	"PID_LYMPH_ANGIOGENESIS_PATHWAY"
16	0.81587446	1.7370696	0	0.0057694335	0.958	1430	"tags=50%, list=9%, signal=55%"	"ENDOTHELIAL CELL PROLIFERATION"	"GOBP"	"GO:0001935"
16	0.815738	1.7097983	0	0.008366594	0.994	1883	"tags=63%, list=12%, signal=71%"	"PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY"	"GOBP"	"GO:0048008"
16	0.8145093	1.7033632	0	0.009160805	0.999	2131	"tags=56%, list=14%, signal=65%"	"FOREBRAIN NEURON DIFFERENTIATION"	"GOBP"	"GO:0021879"
16	0.81413203	1.731283	0	0.0062481235	0.968	1777	"tags=69%, list=12%, signal=78%"	"AORTA MORPHOGENESIS"	"GOBP"	"GO:0035909"
16	0.8140414	1.7192508	0.0016528926	0.007358345	0.992	1861	"tags=63%, list=12%, signal=71%"	"ATRIOVENTRICULAR VALVE MORPHOGENESIS"	"GOBP"	"GO:0003181"
15	0.81306016	1.6963768	0.0016313214	0.010035657	0.999	1451	"tags=47%, list=10%, signal=52%"	"BRANCHING INVOLVED IN URETERIC BUD MORPHOGENESIS"	"GOBP"	"GO:0001658"
17	0.81294537	1.7335994	0.0032573289	0.006075062	0.966	2377	"tags=76%, list=16%, signal=91%"	"BLOOD VESSEL ENDOTHELIAL CELL MIGRATION"	"GOBP"	"GO:0043534"
18	0.8127012	1.7582018	0	0.004229433	0.849	2376	"tags=50%, list=16%, signal=59%"	"FOREBRAIN CELL MIGRATION"	"GOBP"	"GO:0021885"
18	0.8106615	1.7422011	0.0016583748	0.005396961	0.94	1451	"tags=50%, list=10%, signal=55%"	"MESONEPHRIC TUBULE MORPHOGENESIS"	"GOBP"	"GO:0072171"
20	0.81000835	1.8008993	0	0.0019958399	0.532	755	"tags=40%, list=5%, signal=42%"	"NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION"	"GOBP"	"GO:0048662"
16	0.80997247	1.722599	0.0016556291	0.0070822947	0.986	1524	"tags=56%, list=10%, signal=62%"	"SPINAL CORD DEVELOPMENT"	"GOBP"	"GO:0021510"
39	0.80957097	2.0372555	0	0	0	1609	"tags=46%, list=11%, signal=51%"	"PROTEOGLYCAN BIOSYNTHETIC PROCESS"	"GOBP"	"GO:0030166"
17	0.8082342	1.712808	0	0.008020665	0.993	1512	"tags=47%, list=10%, signal=52%"	"NEGATIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS"	"GOBP"	"GO:2000352"
26	0.80822676	1.8786507	0	0.0004034592	0.092	1601	"tags=54%, list=11%, signal=60%"	"RENAL TUBULE MORPHOGENESIS"	"GOBP"	"GO:0061333"
15	0.80776405	1.7239804	0.0016501651	0.006950806	0.979	1153	"tags=47%, list=8%, signal=50%"	"POSITIVE REGULATION OF CARTILAGE DEVELOPMENT"	"GOBP"	"GO:0061036"
32	0.8076161	1.9097567	0	0.00015388597	0.03	1881	"tags=69%, list=12%, signal=78%"	"ARTERY MORPHOGENESIS"	"GOBP"	"GO:0048844"
17	0.80743754	1.7450068	0.0016051364	0.005235096	0.929	1861	"tags=59%, list=12%, signal=67%"	"ATRIOVENTRICULAR VALVE DEVELOPMENT"	"GOBP"	"GO:0003171"
23	0.80629176	1.8232031	0	0.0013151261	0.347	1593	"tags=52%, list=10%, signal=58%"	"NEPHRON TUBULE MORPHOGENESIS"	"GOBP"	"GO:0072078"
22	0.8061874	1.8050296	0	0.0018216779	0.494	1039	"tags=32%, list=7%, signal=34%"	"NEGATIVE REGULATION OF AXONOGENESIS"	"GOBP"	"GO:0050771"
17	0.8059728	1.7222273	0	0.0071013444	0.987	1451	"tags=47%, list=10%, signal=52%"	"URETERIC BUD MORPHOGENESIS"	"GOBP"	"GO:0060675"
59	0.8056317	2.1260643	0	0	0	1451	"tags=46%, list=10%, signal=50%"	"INTEGRINS IN ANGIOGENESIS"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"INTEGRINS IN ANGIOGENESIS"
16	0.805383	1.6899165	0.0033783785	0.010850401	0.999	1664	"tags=50%, list=11%, signal=56%"	"FACE MORPHOGENESIS"	"GOBP"	"GO:0060325"
33	0.80505913	1.9559405	0	4.426812e-05	0.007	1881	"tags=67%, list=12%, signal=76%"	"ARTERY DEVELOPMENT"	"GOBP"	"GO:0060840"
15	0.80472046	1.6867517	0.006259781	0.0113212755	0.999	2047	"tags=53%, list=13%, signal=62%"	"POSITIVE REGULATION OF ADHERENS JUNCTION ORGANIZATION"	"GOBP"	"GO:1903393"
18	0.8039591	1.7327771	0.0016207455	0.0061294595	0.968	1485	"tags=44%, list=10%, signal=49%"	"NEGATIVE REGULATION OF CELL JUNCTION ASSEMBLY"	"GOBP"	"GO:1901889"
16	0.80308723	1.6947954	0.0035650623	0.010254087	0.999	701	"tags=31%, list=5%, signal=33%"	"BONE MINERALIZATION"	"GOBP"	"GO:0030282"
38	0.8029648	2.021577	0	8.804773e-06	0.001	1532	"tags=58%, list=10%, signal=64%"	"SPROUTING ANGIOGENESIS"	"GOBP"	"GO:0002040"
22	0.80125874	1.815053	0	0.0015472384	0.413	814	"tags=36%, list=5%, signal=38%"	"OVULATION CYCLE PROCESS"	"GOBP"	"GO:0022602"
32	0.8010541	1.968453	0	2.0466812e-05	0.003	1028	"tags=38%, list=7%, signal=40%"	"HALLMARK_ANGIOGENESIS"	"MSIGDB_C2"	"HALLMARK_ANGIOGENESIS"
23	0.8006106	1.813167	0	0.0016052803	0.43	1451	"tags=52%, list=10%, signal=58%"	"POSITIVE REGULATION OF LIPID KINASE ACTIVITY"	"GOBP"	"GO:0090218"
47	0.80058646	2.093543	0	0	0	910	"tags=34%, list=6%, signal=36%"	"GLYCOSAMINOGLYCAN CATABOLIC PROCESS"	"GOBP"	"GO:0006027"
24	0.8005056	1.8573657	0	0.00067122164	0.161	1883	"tags=50%, list=12%, signal=57%"	"REGULATION OF PROTEIN AUTOPHOSPHORYLATION"	"GOBP"	"GO:0031952"
15	0.8003498	1.6642137	0.004893964	0.014606367	1	1777	"tags=53%, list=12%, signal=60%"	"OUTFLOW TRACT SEPTUM MORPHOGENESIS"	"GOBP"	"GO:0003148"
20	0.8000205	1.7751355	0	0.00322293	0.749	1512	"tags=45%, list=10%, signal=50%"	"NEGATIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS"	"GOBP"	"GO:1904036"
16	0.7996836	1.7206458	0.008237232	0.007274574	0.988	1716	"tags=44%, list=11%, signal=49%"	"CELL-SUBSTRATE ADHERENS JUNCTION ASSEMBLY"	"GOBP"	"GO:0007045"
16	0.7996836	1.6836239	0.0033955858	0.011810405	0.999	1716	"tags=44%, list=11%, signal=49%"	"FOCAL ADHESION ASSEMBLY"	"GOBP"	"GO:0048041"
18	0.7996637	1.7422103	0.0016233766	0.0054104193	0.94	1664	"tags=50%, list=11%, signal=56%"	"FACE DEVELOPMENT"	"GOBP"	"GO:0060324"
48	0.7992646	2.0974286	0	0	0	910	"tags=33%, list=6%, signal=35%"	"AMINOGLYCAN CATABOLIC PROCESS"	"GOBP"	"GO:0006026"
18	0.7992446	1.7416551	0	0.0054497127	0.94	1472	"tags=44%, list=10%, signal=49%"	"REGULATION OF CATENIN IMPORT INTO NUCLEUS"	"GOBP"	"GO:0035412"
20	0.7976005	1.7501155	0.0015873016	0.0048408015	0.903	1716	"tags=40%, list=11%, signal=45%"	"LAMELLIPODIUM ASSEMBLY"	"GOBP"	"GO:0030032"
21	0.7975746	1.7873896	0.0015698588	0.002546102	0.646	1451	"tags=52%, list=10%, signal=58%"	"POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE ACTIVITY"	"GOBP"	"GO:0043552"
21	0.7966633	1.8122504	0	0.0016167178	0.433	2059	"tags=57%, list=14%, signal=66%"	"CELL-CELL SIGNALING INVOLVED IN CARDIAC CONDUCTION"	"GOBP"	"GO:0086019"
24	0.7963171	1.8365753	0	0.0009844843	0.257	2255	"tags=58%, list=15%, signal=68%"	"WNT SIGNALING NETWORK"	"PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA"	"WNT SIGNALING NETWORK"
15	0.79617554	1.6689546	0.008116883	0.01399451	1	1765	"tags=53%, list=12%, signal=60%"	"CELLULAR RESPONSE TO FATTY ACID"	"GOBP"	"GO:0071398"
17	0.7955876	1.7221262	0	0.0070856903	0.987	586	"tags=35%, list=4%, signal=37%"	"REGULATION OF ENDOCRINE PROCESS"	"GOBP"	"GO:0044060"
25	0.79444665	1.826084	0	0.0012315471	0.321	2255	"tags=56%, list=15%, signal=66%"	"PID_WNT_SIGNALING_PATHWAY"	"MSIGDB_C2"	"PID_WNT_SIGNALING_PATHWAY"
19	0.79439455	1.748703	0	0.004936268	0.912	2571	"tags=58%, list=17%, signal=70%"	"FOREBRAIN GENERATION OF NEURONS"	"GOBP"	"GO:0021872"
17	0.7943296	1.7283151	0.0033955858	0.0064665186	0.972	1664	"tags=47%, list=11%, signal=53%"	"HEAD MORPHOGENESIS"	"GOBP"	"GO:0060323"
60	0.79416466	2.0969	0	0	0	1303	"tags=45%, list=9%, signal=49%"	"FORMATION OF PRIMARY GERM LAYER"	"GOBP"	"GO:0001704"
16	0.7940188	1.6779865	0.0016750419	0.01265199	1	2249	"tags=50%, list=15%, signal=59%"	"REGULATION OF ENERGY HOMEOSTASIS"	"GOBP"	"GO:2000505"
16	0.7932687	1.6946257	0.0016863407	0.010251432	0.999	1182	"tags=38%, list=8%, signal=41%"	"REGULATION OF GLUCAN BIOSYNTHETIC PROCESS"	"GOBP"	"GO:0010962"
16	0.7932687	1.6906327	0.0033003301	0.010782109	0.999	1182	"tags=38%, list=8%, signal=41%"	"REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS"	"GOBP"	"GO:0005979"
36	0.7921475	1.943811	0	5.9150803e-05	0.01	1275	"tags=50%, list=8%, signal=54%"	"EMBRYONIC SKELETAL SYSTEM DEVELOPMENT"	"GOBP"	"GO:0048706"
16	0.7920725	1.6670487	0.0080515295	0.014235803	1	1872	"tags=69%, list=12%, signal=78%"	"HEART TRABECULA MORPHOGENESIS"	"GOBP"	"GO:0061384"
22	0.7918926	1.7827172	0	0.0027656576	0.689	1861	"tags=59%, list=12%, signal=67%"	"VENTRICULAR SEPTUM MORPHOGENESIS"	"GOBP"	"GO:0060412"
27	0.7916507	1.8512199	0	0.00075652293	0.19	1451	"tags=48%, list=10%, signal=53%"	"MESONEPHRIC EPITHELIUM DEVELOPMENT"	"GOBP"	"GO:0072163"
27	0.7916507	1.8226479	0	0.0013325004	0.352	1451	"tags=48%, list=10%, signal=53%"	"MESONEPHRIC TUBULE DEVELOPMENT"	"GOBP"	"GO:0072164"
