Student,Grade,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10
90,2,1,1,0,1,0,1,1,1,1,1
91,2,1,0,0,1,1,1,0,1,0,0
92,2,1,0,1,1,1,1,1,1,0,0
93,2,1,0,1,1,1,1,1,1,0,0
94,2,0,1,1,1,1,1,0,1,1,1
95,2,1,0,1,1,0,1,1,1,0,0
96,3,1,1,1,0,1,1,1,1,0,0
97,4,1,1,1,1,1,1,1,1,0,0
98,4,1,0,0,0,0,0,1,0,0,0
99,4,1,1,1,0,0,1,1,1,0,0
100,4,1,1,1,1,0,1,1,1,0,0
101,4,1,1,1,1,1,1,1,1,1,0
102,5,0,1,0,1,1,1,0,1,0,1
103,5,1,0,1,1,1,1,1,1,1,1
104,5,1,1,1,1,0,1,1,1,0,1
105,5,1,1,0,1,1,1,1,1,0,0
106,5,1,0,1,1,1,1,1,1,0,1
107,5,0,1,1,1,0,1,1,1,1,0
108,5,1,1,0,1,1,1,1,1,0,0
109,5,1,1,1,1,1,1,1,1,0,1
110,5,0,1,1,1,1,1,1,1,0,0
111,6,1,1,1,1,1,1,0,1,0,0
112,6,1,1,1,1,1,1,1,1,1,0
113,6,1,0,1,1,1,1,1,1,0,0
114,6,1,1,1,1,0,1,0,1,0,0
115,6,1,1,1,0,1,1,1,1,1,0
116,2,1,1,1,1,1,1,0,1,1,1
117,2,1,1,1,1,1,1,1,1,1,1
118,2,1,1,1,1,1,1,1,1,1,0
119,2,1,0,1,0,1,1,1,1,1,1
120,2,1,1,1,1,1,1,1,1,0,1
121,2,1,1,1,1,1,1,1,1,0,0
122,2,1,1,1,1,1,1,0,1,0,0
123,3,1,1,1,0,1,1,1,1,1,1
124,3,1,1,1,0,1,1,0,1,0,0
125,3,1,1,1,0,1,1,1,1,0,1
126,3,1,0,1,0,0,1,1,1,0,1
127,3,1,0,1,1,1,1,1,1,0,0
128,4,1,0,1,0,0,1,1,1,0,0
129,6,1,1,1,1,1,1,1,1,0,0
130,4,1,0,1,0,1,1,1,1,0,0
131,4,1,1,1,1,1,1,1,1,1,1
132,4,1,1,1,1,1,1,1,1,1,0
133,4,1,1,1,1,1,1,1,1,0,0
134,5,1,1,1,1,0,1,0,1,0,1
135,5,1,1,1,1,1,1,1,1,1,0
136,5,1,1,1,1,0,1,1,1,0,1
137,5,1,1,1,1,1,1,1,1,1,0
138,5,1,1,1,1,1,1,1,1,1,1
139,5,1,1,1,1,1,1,1,1,0,1
140,6,1,1,1,0,1,1,1,1,1,1
141,6,1,1,1,1,1,1,1,1,1,0
142,6,1,0,1,0,1,1,1,1,1,1
143,6,1,1,1,0,1,1,1,1,1,1
144,6,1,1,1,1,1,1,1,1,1,1
145,6,1,0,1,1,1,1,1,1,0,1
146,6,1,1,1,1,1,1,1,1,0,1
147,6,1,1,1,1,1,1,1,1,1,1
148,2,0,1,0,0,0,0,0,0,0,0
149,2,1,1,1,1,1,1,1,1,0,1
150,2,1,1,1,1,0,1,1,1,1,1
151,2,1,1,1,1,1,1,0,1,0,1
152,2,1,1,1,1,0,1,1,1,0,0
153,3,1,0,1,1,1,1,1,1,1,0
154,3,1,1,1,1,1,1,1,1,1,1
155,3,1,0,1,0,1,1,1,1,1,1
156,3,1,1,1,1,1,1,1,1,0,1
157,3,1,1,1,1,1,1,1,1,0,0
158,3,1,1,1,0,1,1,1,1,1,1
159,3,1,1,1,0,1,1,1,1,0,1
160,4,1,1,1,0,1,1,1,1,0,1
161,4,1,1,1,1,1,1,1,1,0,0
162,4,1,1,1,0,0,1,1,1,1,0
163,4,1,1,1,1,1,1,1,1,0,1
164,4,1,1,1,1,1,1,1,1,1,1
165,5,1,1,1,1,1,1,1,1,0,0
166,5,1,1,1,1,1,1,1,1,1,1
167,5,1,1,1,1,1,1,1,1,0,1
168,5,0,1,0,1,0,1,1,1,0,0
169,5,1,1,1,1,1,1,1,1,1,1
170,5,1,1,1,1,0,1,1,1,0,0
171,6,1,1,1,1,1,1,1,1,0,0
172,6,1,1,1,1,0,1,1,1,1,0
173,6,1,1,1,1,1,1,1,1,0,0
174,6,1,1,1,1,1,1,1,1,0,1
175,6,1,1,1,1,1,1,1,1,0,0
176,6,1,1,1,1,1,1,1,1,0,1
177,6,0,1,0,1,1,1,1,1,0,0
178,2,1,1,1,1,1,1,1,1,0,1
179,2,1,1,1,1,0,1,1,1,0,1
180,2,0,1,1,1,0,1,1,1,0,0
181,2,1,1,1,1,1,1,1,1,0,1
182,2,1,1,1,1,0,1,1,1,0,1
183,2,1,1,1,1,1,1,1,1,0,1
184,2,1,1,1,1,1,1,1,1,1,0
185,3,1,1,1,0,1,1,0,1,0,0
186,3,1,0,1,0,1,1,1,1,0,0
187,3,1,1,1,1,1,1,1,1,1,1
188,3,1,1,1,1,1,1,1,1,1,1
189,3,1,1,1,1,0,1,1,1,0,0
190,4,1,1,1,1,1,1,1,1,1,1
191,4,1,1,1,1,1,1,1,1,1,1
192,4,1,1,1,1,1,1,1,1,0,0
193,4,1,1,1,1,1,1,1,1,0,1
194,4,1,1,1,1,1,1,1,1,1,1
195,4,1,1,1,1,1,1,1,1,0,0
196,5,1,0,0,1,1,1,1,1,0,0
197,5,1,1,1,1,1,1,1,1,1,1
198,5,1,1,0,1,1,0,0,0,0,0
199,5,1,1,1,1,1,1,1,1,1,1
200,5,1,1,0,1,1,1,1,1,0,0
201,6,1,1,1,1,1,1,1,1,0,0
202,6,1,1,1,1,1,1,1,1,1,1
203,6,1,1,1,1,1,1,1,1,0,0
204,6,1,1,1,1,1,1,1,1,1,1
205,6,1,1,1,1,1,1,1,1,0,1
206,6,1,1,1,1,0,1,0,1,0,0
207,2,0,1,0,1,1,1,0,1,0,0
208,2,1,1,1,0,1,1,1,1,1,1
209,2,1,0,1,0,1,1,1,0,0,1
210,2,0,1,0,1,1,1,0,1,0,0
211,3,1,1,1,1,1,1,0,1,1,0
212,3,1,0,1,1,1,0,0,1,0,0
213,2,1,1,1,1,1,1,1,1,0,0
214,2,1,1,1,1,1,1,1,1,1,1
215,2,1,1,1,1,1,1,1,1,0,1
216,3,1,1,1,1,1,1,0,1,0,0
217,3,1,1,1,1,0,1,1,1,1,1
218,3,1,0,0,1,1,0,0,1,0,0
219,4,1,1,1,1,1,1,1,1,0,1
220,4,1,1,1,1,1,1,1,1,0,1
221,5,1,1,1,1,1,1,1,1,0,1
222,5,1,1,1,1,0,1,1,1,1,1
223,6,1,1,1,1,1,1,1,1,0,1
224,6,1,1,1,1,1,1,1,1,1,1
225,6,1,0,1,0,1,1,1,1,0,1
226,2,1,1,0,1,0,1,1,0,0,0
227,2,1,1,1,1,1,1,1,1,0,0
228,3,1,1,1,0,0,1,1,1,1,1
229,4,1,1,1,1,1,1,1,1,0,0
230,6,1,1,1,1,1,1,1,1,0,1
231,6,1,0,1,0,0,1,1,1,0,1
232,2,1,1,1,1,1,1,1,1,1,1
233,3,1,1,1,1,1,1,1,1,1,1
234,3,1,1,1,1,0,1,1,1,0,0
235,4,1,1,1,0,1,1,0,1,0,0
236,4,1,1,1,1,0,1,1,1,0,0
237,4,1,1,1,1,1,1,1,1,0,1
238,5,1,1,1,1,1,1,1,1,0,1
239,6,1,1,1,1,1,1,1,1,0,1
240,6,1,1,1,1,1,1,1,1,0,1
241,2,1,1,1,1,0,1,1,1,0,0
242,2,0,1,1,1,1,1,1,1,0,0
243,2,1,1,1,1,1,1,1,1,0,1
244,2,1,1,1,1,1,1,1,1,0,1
245,2,0,1,1,1,1,1,1,1,0,1
246,2,1,0,1,0,0,1,1,1,0,0
247,2,1,1,1,1,0,1,1,0,0,0
248,2,1,1,1,1,1,1,1,1,0,0
249,3,1,1,1,1,0,1,1,1,0,0
250,3,1,0,1,1,1,1,1,1,0,0
251,3,1,1,1,1,1,1,1,1,1,1
252,3,1,1,1,0,1,1,1,1,0,0
253,3,1,0,1,1,0,1,1,1,0,1
254,3,1,1,1,1,1,1,1,1,1,1
255,3,1,1,0,1,0,1,1,1,0,0
256,3,1,0,1,0,1,1,1,1,0,0
257,3,1,0,1,0,1,1,1,1,1,1
258,3,1,1,1,0,1,1,1,1,0,1
259,3,1,0,1,1,1,1,1,1,0,0
260,3,1,0,1,0,1,1,1,1,0,0
261,4,1,1,1,1,1,1,0,1,0,0
262,4,1,1,1,1,1,1,1,1,0,0
263,4,0,1,1,1,0,1,1,1,0,0
264,4,1,0,1,1,1,1,1,1,1,1
265,4,1,1,1,1,0,1,1,1,0,0
266,4,1,1,1,1,1,1,1,1,1,1
267,4,1,1,1,1,1,1,1,1,0,0
268,5,1,1,1,1,1,1,1,1,0,0
269,5,1,0,1,0,1,1,1,1,0,1
270,5,1,1,1,1,1,1,1,1,0,1
271,5,1,0,1,0,1,1,1,1,0,1
272,5,1,1,1,1,1,1,1,1,0,0
273,5,1,1,1,1,1,1,1,1,0,1
274,6,1,1,0,1,1,1,1,1,0,1
275,6,1,1,0,0,1,1,1,1,0,1
276,6,1,1,1,0,1,1,1,1,1,0
277,6,1,1,1,1,1,1,1,1,1,1
278,6,1,1,1,1,1,1,1,1,0,1
279,6,1,1,1,1,1,1,1,1,0,1
280,2,0,1,0,1,1,1,1,1,0,1
281,2,1,1,1,1,1,1,1,1,0,0
282,3,1,1,1,1,1,1,1,1,1,1
283,3,1,1,1,1,1,1,1,1,0,1
284,3,1,0,1,1,1,1,1,1,0,0
285,3,1,1,1,1,0,1,1,1,1,0
286,4,1,1,1,1,1,1,1,1,0,0
287,4,1,1,1,1,1,1,1,1,0,1
288,4,1,1,1,1,0,1,1,1,0,1
289,5,1,1,1,1,1,1,1,1,0,0
290,5,1,1,1,1,1,1,1,1,0,1
291,5,1,1,1,0,1,1,1,1,1,1
292,5,1,1,1,1,1,1,1,1,1,1
293,6,1,1,1,0,1,1,1,1,0,1
294,6,1,1,1,1,1,1,1,1,0,1
295,6,1,1,1,1,1,1,1,1,0,1
296,6,1,1,1,1,1,1,1,1,0,1
297,2,1,1,0,1,1,1,0,1,0,0
298,2,0,0,0,0,0,1,0,1,0,0
299,2,1,0,1,0,0,1,1,1,1,1
300,2,1,1,1,1,1,1,1,1,0,1
301,2,1,0,1,1,1,1,1,1,0,1
302,2,1,1,0,1,0,1,1,1,0,0
303,2,1,1,1,0,1,1,1,1,0,1
304,3,1,1,1,0,1,1,1,1,0,0
305,3,1,1,1,1,1,1,1,1,0,1
306,3,1,1,1,0,1,1,1,1,1,1
307,3,1,1,1,0,1,1,1,1,0,0
308,3,1,1,1,1,1,1,1,1,1,1
309,4,1,1,1,1,1,1,1,1,0,0
310,4,1,0,1,1,1,1,1,1,0,0
311,4,1,1,1,1,0,1,1,1,1,0
312,4,1,1,1,1,0,1,0,1,0,0
313,5,1,1,0,1,1,1,0,1,0,1
314,5,1,0,1,0,1,1,1,1,0,0
315,5,1,0,1,0,1,1,1,1,0,1
316,5,1,0,1,0,1,1,0,1,0,0
317,5,1,1,1,1,1,1,1,1,1,1
318,5,1,1,1,1,1,1,1,1,0,1
319,5,1,0,1,0,0,1,1,1,0,0
320,5,1,0,1,1,1,1,1,1,0,1
321,5,1,1,1,1,1,1,1,1,0,0
322,5,1,1,1,1,1,1,1,1,0,1
323,5,1,1,1,0,1,1,1,1,0,1
324,6,1,0,1,1,1,1,1,1,0,0
325,6,1,1,1,1,1,1,1,1,1,0
326,6,1,1,1,0,1,1,1,1,0,1
327,6,1,0,1,1,1,1,1,1,0,0
328,6,1,1,1,1,1,1,1,1,1,1
329,6,1,1,1,1,1,1,1,1,0,0
330,2,1,1,1,1,1,1,1,1,0,0
331,2,1,1,1,1,1,1,1,1,1,0
332,2,1,1,1,0,0,1,0,1,0,1
333,2,1,0,1,0,1,1,1,1,1,1
334,2,1,0,1,0,1,1,1,1,0,0
335,2,1,1,1,1,1,1,1,1,0,0
336,3,1,1,1,1,1,1,1,1,0,1
337,3,1,1,1,1,1,1,1,1,0,0
338,3,1,1,1,0,1,1,1,1,0,1
339,3,1,0,1,1,0,1,1,1,0,1
340,3,1,1,1,1,1,1,1,0,0,1
341,3,1,1,1,1,0,1,1,1,0,1
342,4,1,1,1,1,0,1,1,1,0,1
343,4,1,1,1,1,1,1,0,1,1,0
344,4,1,1,1,1,1,1,1,1,1,0
345,4,1,1,0,1,1,1,0,0,0,0
346,4,1,1,1,1,1,1,1,1,0,0
347,4,1,1,1,0,1,1,1,1,1,1
348,5,1,1,1,1,0,1,1,1,1,0
349,5,1,1,1,1,1,1,1,1,0,1
350,5,1,0,1,1,1,1,1,1,0,1
351,5,1,1,1,1,1,1,0,1,0,1
352,5,1,1,1,1,0,1,0,1,0,0
353,6,1,1,1,0,1,1,0,1,0,1
354,6,1,0,1,1,1,1,1,1,1,1
355,6,1,0,1,0,1,1,1,1,0,1
356,6,1,0,1,1,0,1,1,1,1,1
357,6,1,0,1,0,1,1,1,1,1,0
358,6,1,1,1,1,1,1,1,1,1,1
359,2,1,1,0,1,0,1,1,1,0,0
360,2,0,1,0,1,0,0,0,1,0,0
361,2,1,0,1,1,0,0,1,0,0,1
362,2,1,0,0,1,0,1,0,1,1,0
363,2,1,1,1,1,1,1,1,1,0,0
364,2,1,1,0,1,1,1,0,1,0,0
365,2,1,1,1,1,0,1,1,1,0,1
366,3,1,1,1,1,1,1,1,1,0,0
367,3,1,1,1,0,1,1,1,1,0,1
368,3,1,1,1,1,1,1,1,1,0,1
369,3,1,1,1,0,0,1,0,1,0,0
370,3,1,1,1,1,1,0,0,1,0,0
371,3,1,1,1,1,0,1,1,1,0,0
372,4,1,0,0,0,1,1,1,1,1,1
373,4,1,1,1,1,1,1,1,1,0,0
374,4,1,1,1,1,1,1,0,1,0,0
375,4,1,1,1,1,1,1,1,1,0,0
376,4,1,1,1,1,1,1,1,1,0,0
377,4,1,1,0,1,1,1,0,1,0,0
378,4,1,1,1,1,1,1,1,1,0,1
379,4,1,1,1,1,0,1,1,1,0,1
380,5,1,1,1,1,1,1,1,1,1,1
381,5,1,1,1,1,0,1,0,1,1,0
382,5,1,1,1,1,1,1,1,1,0,0
383,5,1,1,0,1,0,1,1,1,0,0
384,5,1,1,0,1,1,1,1,1,1,1
385,5,0,1,0,1,1,0,0,0,0,0
386,6,1,1,1,1,1,1,1,1,0,1
387,6,1,0,1,0,1,1,1,1,1,1
388,6,1,1,1,1,1,1,1,1,0,0
389,6,1,1,0,1,1,1,1,1,0,1
390,6,1,1,1,1,1,1,0,1,0,1
391,2,1,1,0,1,1,1,0,1,0,0
392,2,0,1,0,1,1,1,0,0,0,0
393,2,1,1,1,1,0,1,1,1,0,1
394,2,1,1,1,1,1,1,0,1,0,0
395,2,1,1,1,1,1,1,0,1,0,1
396,2,1,1,1,1,1,1,1,1,0,0
397,3,1,1,1,0,1,1,1,1,1,1
398,3,1,1,1,1,1,1,1,1,1,1
399,3,1,0,1,1,1,1,1,1,1,1
400,3,1,1,1,1,1,1,1,1,0,1
401,4,1,1,1,1,1,1,1,1,1,0
402,4,1,1,1,1,1,1,1,1,1,1
403,4,1,1,1,1,1,1,1,1,0,1
404,4,1,1,1,1,1,1,1,1,0,0
405,4,1,1,1,1,1,1,1,1,1,1
406,4,1,1,1,1,1,1,1,1,0,1
407,4,1,1,1,1,1,1,1,1,1,1
408,5,1,1,1,1,1,1,1,1,0,1
409,5,1,1,1,1,1,1,1,1,0,0
410,5,1,1,1,0,1,1,0,1,0,1
411,5,0,0,0,0,0,1,0,1,1,0
412,5,1,0,1,1,1,1,1,1,1,0
413,5,1,1,1,1,0,1,1,1,0,1
414,6,1,1,1,1,1,1,1,1,1,1
415,6,1,1,1,1,1,1,1,1,1,1
416,6,1,1,1,1,1,1,1,1,0,0
417,6,0,1,1,1,1,1,1,1,1,1
418,6,1,0,1,1,0,1,1,1,1,1
419,6,1,1,1,1,1,1,1,1,1,1
420,6,1,1,1,1,1,1,1,1,1,1
421,6,1,1,1,1,1,1,1,1,0,1
422,3,1,1,1,1,1,1,1,1,1,1
423,3,0,1,0,1,0,0,0,0,0,0
424,5,1,1,1,1,1,1,1,1,0,1
425,5,1,1,1,1,1,1,1,1,0,0
