Data Table for Weekly Deaths - The United States
Date generated: Mon Jul 24 2023 13:41:13 GMT-0400 (Eastern Daylight Time)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jul 11 2020,5770,Jul 19 2023
United States,Jul  4 2020,4540,Jul 19 2023
United States,Jun 27 2020,3835,Jul 19 2023
United States,Jun 20 2020,3844,Jul 19 2023
United States,Jun 13 2020,4227,Jul 19 2023
United States,Jun  6 2020,5046,Jul 19 2023
United States,May 30 2020,6160,Jul 19 2023
United States,May 23 2020,7229,Jul 19 2023
United States,May 16 2020,9229,Jul 19 2023
United States,May  9 2020,11223,Jul 19 2023
United States,May  2 2020,13200,Jul 19 2023
United States,Apr 25 2020,15525,Jul 19 2023
United States,Apr 18 2020,17201,Jul 19 2023
United States,Apr 11 2020,16306,Jul 19 2023
United States,Apr  4 2020,10113,Jul 19 2023
United States,Mar 28 2020,3211,Jul 19 2023
United States,Mar 21 2020,586,Jul 19 2023
United States,Mar 14 2020,60,Jul 19 2023
United States,Mar  7 2020,38,Jul 19 2023
United States,Feb 29 2020,9,Jul 19 2023
United States,Feb 22 2020,6,Jul 19 2023
United States,Feb 15 2020,6,Jul 19 2023
United States,Feb  8 2020,4,Jul 19 2023
United States,Feb  1 2020,0,Jul 19 2023
United States,Jan 25 2020,3,Jul 19 2023
United States,Jan 18 2020,2,Jul 19 2023
United States,Jan 11 2020,1,Jul 19 2023
